Assembly	cabog broken	cabog
# fully unaligned contigs	9	9
Fully unaligned length	149288	118023
# partially unaligned contigs	31	28
    # with misassembly	23	21
    # both parts are significant	28	26
Partially unaligned length	4083435	4122327
# N's	1	491
