Assembly	AH-H-Abyss-Scaffold	AH-H-Cabog-Scaffold	AH-H-Msrca-Scaffold	AH-H-Sga-Scaffold	AH-H-Soap-Scaffold	AH-H-Spades-Scaffold	AH-H-Velvet-Scaffold
# fully unaligned contigs	9	10	1	65	6	11	6
Fully unaligned length	118023	216953	755	1234045	112057	11304	95927
# partially unaligned contigs	28	25	20	61	19	21	20
    # with misassembly	21	20	13	25	17	17	18
    # both parts are significant	26	22	17	45	17	20	20
Partially unaligned length	4122327	4091281	4255654	2821686	4082606	4184535	4104819
# N's	491	1586	40	0	10	63	1128
