Assembly	RS-H-Abyss	RS-M-Abyss	RS-H-Cabog	RS-M-Cabog	RS-H-Mira	RS-M-Mira	RS-H-Msrca	RS-M-Msrca	RS-H-Sga	RS-M-Sga	RS-H-Soap	RS-M-Soap	RS-H-Spades	RS-M-Spades	RS-H-Velvet	RS-M-Velvet
# fully unaligned contigs	485	353	526	144	553	677	85	47	527	786	659	315	136	74	556	308
Fully unaligned length	4234064	4347876	4188359	3920624	4380677	4452850	4028196	3866980	4088198	4364818	4356899	4344231	4230197	3766185	4325887	4321147
# partially unaligned contigs	11	5	6	2	11	14	15	6	7	16	4	10	9	17	5	4
    # with misassembly	0	1	0	0	0	1	0	2	0	1	0	0	0	5	1	1
    # both parts are significant	9	4	1	1	3	3	4	2	1	5	1	3	8	10	4	4
Partially unaligned length	190859	46321	14792	30933	25183	30917	420752	363621	55480	84325	11431	79867	272460	699531	42175	62943
# N's	8	0	0	210	241	119	0	0	0	0	0	0	691	466	0	0
