Assembly	GAGE-B	Msrca_183_k89	Msrca_183_k99	Msrca_210_k89	Msrca_210_k99
# misassemblies	8	8	11	8	2
    # relocations	7	7	10	7	2
    # translocations	1	1	1	1	0
    # inversions	0	0	0	0	0
# misassembled contigs	7	7	9	8	2
Misassembled contigs length	708761	422752	52197	228152	4646
# local misassemblies	5	4	5	6	0
# mismatches	2716	2728	367	2009	57
# indels	273	262	160	224	20
    # short indels (<= 5 bp)	267	257	158	216	20
    # long indels (> 5 bp)	6	5	2	8	0
Indels length	345	317	178	301	21
