Assembly	SA-H-Abyss	SA-H-Cabog	SA-H-Mira	SA-H-Msrca	SA-H-Sga	SA-H-Soap	SA-H-Spades	SA-H-Velvet
# fully unaligned contigs	9	6	62	3	33	10	8	13
Fully unaligned length	92626	19806	75708	11408	98794	73720	46693	75889
# partially unaligned contigs	17	13	8	8	27	9	7	8
    # with misassembly	5	4	3	3	6	3	3	3
    # both parts are significant	12	9	4	4	14	4	4	5
Partially unaligned length	101872	44537	34560	98951	68748	28478	42898	28198
# N's	0	0	46	0	0	0	57	0
