Assembly	Velvet
# misassemblies	14
    # relocations	12
    # translocations	2
    # inversions	0
# misassembled contigs	14
Misassembled contigs length	749414
# local misassemblies	2
# mismatches	161
# indels	110
    # short indels (<= 5 bp)	104
    # long indels (> 5 bp)	6
Indels length	168
