Assembly	RS-H-Abyss	RS-M-Abyss	RS-H-Cabog	RS-M-Cabog	RS-H-Mira	RS-M-Mira	RS-H-Msrca	RS-M-Msrca	RS-H-Sga	RS-M-Sga	RS-H-Soap	RS-M-Soap	RS-H-Spades	RS-M-Spades	RS-H-Velvet	RS-M-Velvet
# fully unaligned contigs	505	375	529	143	613	714	96	51	555	813	697	341	151	93	578	326
Fully unaligned length	4312221	4445631	4182857	3903420	4355615	4475798	3701100	3696035	4132778	4477674	4412223	4391320	4147008	4175980	4393452	4400356
# partially unaligned contigs	10	2	4	3	8	10	7	6	5	11	1	5	9	11	3	3
    # with misassembly	1	1	0	0	1	2	1	0	0	1	0	0	1	1	1	1
    # both parts are significant	7	2	0	1	3	2	2	0	0	2	0	0	7	6	2	2
Partially unaligned length	190574	22704	29874	48156	107968	93904	746744	516833	57776	46825	1354	102203	439947	347240	46721	52247
# N's	8	0	0	210	241	119	0	0	0	0	0	0	691	466	0	0
