Assembly	AH-H-Cabog-Contig	AH-H-Mira-Contig	AH-H-Msrca-Contig	AH-H-Sga-Contig	AH-H-Soap-Contig	AH-H-Spades-Contig	AH-H-Velvet-Contig
# fully unaligned contigs	40	72	2	68	6	13	10
Fully unaligned length	349640	282923	3606	1237798	112057	46999	159840
# partially unaligned contigs	32	36	21	61	28	26	39
    # with misassembly	20	25	14	25	23	20	27
    # both parts are significant	24	27	18	45	25	25	34
Partially unaligned length	3915649	3943747	4252760	2821686	4070139	4145432	4023562
# N's	0	209	0	0	0	63	0
