Assembly	dataset_497.dat	dataset_498.dat	dataset_499.dat
# fully unaligned contigs	0	0	3
Fully unaligned length	0	0	1864
# partially unaligned contigs	1	1	4
    # with misassembly	1	1	1
    # both parts are significant	1	1	1
Partially unaligned length	2338	2142	3505
# N's	5511	0	191
