All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly     # contigs (>= 0 bp)  # contigs (>= 1000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  # contigs  Total length  Largest contig  Reference length  GC (%)  Reference GC (%)  N50     NG50    N75     NG75    L50  LG50  L75  LG75  # misassemblies  Misassembled contigs length  # local misassemblies  # unaligned contigs  Unaligned contigs length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  # genes      Largest alignment
SA-H-Abyss   132                  89                      3040616                 3031704                    92         3034102       244957          27041             32.92   30.52             64963   244957  38351   244957  13   1     29   1     0                0                            0                      87 + 5 part          3022953                   34.703               1.188              0.00               460.36                    0.00                  10 + 2 part  4185             
SA-H-Cabog   56                   56                      2796508                 2796508                    56         2796508       285328          27041             32.73   30.52             111165  285328  56580   285328  7    1     16   1     0                0                            0                      52 + 4 part          2792284                   12.322               1.268              0.00               759.49                    0.00                  5 + 1 part   1247             
SA-H-Mira    256                  68                      2890706                 2825994                    110        2853942       379101          27041             32.75   30.52             132448  379101  50006   379101  7    1     16   1     0                0                            0                      93 + 11 part         2843410                   28.723               1.356              1.61               1752.68                   445.12                2 + 8 part   2060             
SA-H-Msrca   52                   35                      2896852                 2889489                    39         2892444       449789          27041             32.85   30.52             221821  449789  123428  449789  5    1     9    1     0                0                            0                      35 + 3 part          2889815                   2.921                3.328              0.00               759.49                    0.00                  1 + 0 part   751              
SA-H-Sga     1921                 130                     3024925                 2774031                    150        2787797       173010          27041             32.63   30.52             39954   173010  28545   173010  22   1     43   1     1                1721                         0                      142 + 6 part         2777675                   32.081               1.167              0.00               953.25                    45.39                 8 + 3 part   4185             
SA-H-Soap    278                  48                      2856225                 2820329                    52         2822930       364183          27041             32.69   30.52             146332  364183  92436   364183  7    1     13   1     0                0                            0                      47 + 4 part          2813558                   32.432               1.069              0.00               759.49                    0.00                  9 + 2 part   4185             
SA-H-Spades  72                   40                      2861974                 2851518                    44         2854235       350174          27041             32.78   30.52             187080  350174  105739  350174  6    1     11   1     0                0                            0                      40 + 4 part          2844232                   34.999               1.057              2.00               759.49                    0.00                  10 + 2 part  4185             
SA-H-Velvet  82                   57                      2829571                 2822704                    60         2824718       336190          27041             32.73   30.52             122507  336190  52580   336190  7    1     15   1     1                1703                         0                      54 + 4 part          2814854                   32.662               1.117              0.00               582.81                    0.00                  9 + 2 part   4185             
