Assembly	GAGE-B	cabog_7.0	cabog_8.1
# misassemblies	20	10	8
    # relocations	17	8	7
    # translocations	3	2	1
    # inversions	0	0	0
# misassembled contigs	14	10	7
Misassembled contigs length	385832	94087	39006
# local misassemblies	11	7	7
# mismatches	656	297	353
# indels	283	285	172
    # short indels (<= 5 bp)	280	280	169
    # long indels (> 5 bp)	3	5	3
Indels length	328	335	200
