Assembly	cabog	Velvet
# misassemblies	17	14
    # relocations	11	12
    # translocations	6	2
    # inversions	0	0
# misassembled contigs	17	14
Misassembled contigs length	128064	749414
# local misassemblies	7	2
# mismatches	319	161
# indels	142	110
    # short indels (<= 5 bp)	136	104
    # long indels (> 5 bp)	6	6
Indels length	188	168
