All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly     # contigs (>= 0 bp)  # contigs (>= 1000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  # contigs  Total length  Largest contig  Reference length  GC (%)  Reference GC (%)  N50     NG50    N75     NG75    L50  LG50  L75  LG75  # misassemblies  Misassembled contigs length  # local misassemblies  # unaligned contigs  Unaligned contigs length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  # genes     Largest alignment
SA-H-Abyss   132                  89                      3040616                 3031704                    92         3034102       244957          3125              32.92   28.74             64963   244957  38351   244957  13   1     29   1     -                -                            -                      92 + 0 part          3034102                   -                    -                  0.00               -                         -                     -           -                
SA-H-Cabog   56                   56                      2796508                 2796508                    56         2796508       285328          3125              32.73   28.74             111165  285328  56580   285328  7    1     16   1     -                -                            -                      56 + 0 part          2796508                   -                    -                  0.00               -                         -                     -           -                
SA-H-Mira    256                  68                      2890706                 2825994                    110        2853942       379101          3125              32.75   28.74             132448  379101  50006   379101  7    1     16   1     0                0                            0                      107 + 3 part         2853230                   11.424               1.994              1.61               2074.69                   414.94                0 + 1 part  242              
SA-H-Msrca   52                   35                      2896852                 2889489                    39         2892444       449789          3125              32.85   28.74             221821  449789  123428  449789  5    1     9    1     -                -                            -                      39 + 0 part          2892444                   -                    -                  0.00               -                         -                     -           -                
SA-H-Sga     1921                 130                     3024925                 2774031                    150        2787797       173010          3125              32.63   28.74             39954   173010  28545   173010  22   1     43   1     0                0                            0                      148 + 2 part         2787320                   9.376                1.628              0.00               2580.65                   0.00                  0 + 1 part  155              
SA-H-Soap    278                  48                      2856225                 2820329                    52         2822930       364183          3125              32.69   28.74             146332  364183  92436   364183  7    1     13   1     -                -                            -                      52 + 0 part          2822930                   -                    -                  0.00               -                         -                     -           -                
SA-H-Spades  72                   40                      2861974                 2851518                    44         2854235       350174          3125              32.78   28.74             187080  350174  105739  350174  6    1     11   1     -                -                            -                      44 + 0 part          2854235                   -                    -                  2.00               -                         -                     -           -                
SA-H-Velvet  82                   57                      2829571                 2822704                    60         2824718       336190          3125              32.73   28.74             122507  336190  52580   336190  7    1     15   1     0                0                            0                      58 + 2 part          2824268                   9.376                1.536              0.00               2739.73                   0.00                  0 + 1 part  146              
