#Component	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
#Std. deviation	8.147e+06	1.561e+06	1.224e+06	4.281e+05	2.541e+05	1.593e+05	3.638e+04	2.775e+04	1.66e+04	1.401e+04	1.135e+04	5161	3132	869.6	466.8	173.3	162.2	97.8	14.15	8.75	5.233	5.038	4.517	3.425	3.24	2.097	1.72	1.377	1.229	0.8326	0.669	0.3212	6.806e-10	6.806e-10	6.806e-10
#Proportion of variance explained	0.9403	0.03451	0.02124	0.002596	0.0009149	0.0003597	1.875e-05	1.091e-05	3.902e-06	2.782e-06	1.826e-06	3.774e-07	1.39e-07	1.071e-08	3.088e-09	4.253e-10	3.729e-10	1.355e-10	2.837e-12	1.085e-12	3.88e-13	3.596e-13	2.891e-13	1.662e-13	1.488e-13	6.232e-14	4.191e-14	2.688e-14	2.141e-14	9.822e-15	6.342e-15	1.461e-15	6.562e-33	6.562e-33	6.562e-33
#Loadings	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
c15	-3.183e-06	-2.222e-05	-1.335e-05	-6.253e-06	3.239e-06	2.516e-06	-6.667e-06	-3.304e-06	2.041e-05	-2.362e-05	-1.478e-05	0.0003451	-0.0007164	-0.0003133	-0.002968	-0.0002618	0.005504	0.00415	0.008877	-0.03292	0.1752	-0.545	-0.2264	-0.1916	-0.002385	-0.1684	0.2653	-0.01022	-0.2681	0.2329	-0.1574	-0.005568	0.5121	-0.2658	0.02184
c16	0	0	0	3.944e-31	-2.068e-25	0	-4.337e-19	0	0	5.551e-17	0	0	-5.551e-17	5.551e-17	3.123e-16	-1.497e-15	1.353e-15	6.661e-16	-2.351e-14	1.012e-14	-9.995e-15	-6.347e-14	-2.606e-14	-6.791e-16	1.684e-13	1.298e-13	1.565e-15	1.408e-12	-2.796e-14	3.553e-14	-9.138e-13	1.134e-11	0.4522	0.8821	0.1319
c17	-1.253e-07	-9.837e-07	-5.889e-07	-6.526e-07	7.305e-08	-1.522e-06	1.223e-06	1.145e-05	4.568e-06	1.267e-06	-2.623e-05	-4.549e-05	0.0002205	9.856e-06	2.287e-05	-0.001018	0.002467	0.001379	-0.004151	0.02204	-0.02251	-0.07373	-0.04591	-0.03323	-0.07159	0.1132	-0.3183	0.07662	0.5131	-0.3808	0.3514	-0.01339	0.5121	-0.2658	0.02184
c18	-1.458e-06	-8.838e-06	-5.098e-06	-7.444e-07	1.137e-06	-6.843e-06	5.305e-05	5.537e-05	1.936e-05	-8.646e-05	-3.706e-05	0.0002871	-0.0009195	0.0001276	-0.001062	0.002848	0.005777	0.003147	-0.01805	-0.06759	0.1144	-0.2332	0.1495	-0.05831	0.1099	0.7344	-0.4865	-0.05845	-0.1723	0.23	-0.1656	-0.01324	-1.403e-13	1.118e-14	-2.578e-15
c19	-0.1241	-0.8491	-0.4815	-0.1464	-0.08772	0.01867	0.01208	0.04475	-0.002633	-0.007774	0.002293	-0.002202	0.00704	0.0003377	-0.0005809	8.664e-05	-0.0006371	-0.0001646	-4.234e-06	-2.815e-06	-1.518e-05	2.081e-05	1.391e-05	9.239e-07	2.125e-06	2.549e-06	1.379e-06	8.8e-07	1.147e-06	-1.686e-06	-1.367e-06	3.73e-07	3.423e-16	1.384e-16	2.873e-17
c20	-2.404e-06	-1.312e-05	-7.931e-06	2.891e-06	8.089e-06	4.339e-05	-6.491e-05	-0.000137	5.161e-05	8.844e-05	0.0003834	6.017e-05	-0.003073	-0.0004853	-0.008413	0.0006398	-0.01387	-0.01077	0.01981	-0.768	0.4563	0.1463	-0.05547	0.08764	0.3681	-0.0651	0.02022	0.1312	0.04396	-0.05729	0.06722	-0.04441	9.887e-13	-1.097e-13	3.366e-15
c21	-9.392e-06	1.046e-05	2.968e-05	-0.000138	-7.741e-05	5.724e-05	0.0002119	-0.0003211	-0.002613	-0.0004584	0.0001887	0.0002956	-0.0003439	0.01073	-0.00579	-0.006587	0.03034	-0.1058	0.9362	0.1959	0.2363	0.07936	-0.0005377	-0.04954	0.04208	-0.02655	-0.06412	0.02081	0.005924	0.01573	-0.009969	0.02952	-8.875e-13	5.87e-14	8.776e-16
c22	-0.06114	0.07657	0.2207	-0.7939	-0.464	0.3072	-8.527e-05	0.02175	0.03063	-0.01574	0.01238	-0.0009281	0.0006692	-0.0007632	-0.0003367	0.0002741	-0.001381	-6.513e-05	-5.157e-05	1.998e-05	-2.079e-05	-1.987e-05	4.431e-06	-1.619e-05	6.329e-06	8.561e-06	1.639e-06	6.106e-06	-5.403e-07	7.783e-07	2.687e-06	1.249e-06	-2.316e-16	-2.497e-16	-1.836e-16
c23	-1.633e-06	-2.7e-06	4.554e-07	5.082e-07	-1.07e-05	-2.44e-05	5.039e-05	2.663e-05	-0.0001041	-8.137e-05	6.153e-05	0.0004832	-0.0009852	0.0001843	0.001003	-0.001239	0.005336	-0.00687	0.02756	0.007398	-0.216	-0.324	0.6559	-0.01525	0.4309	-0.4009	-0.2096	0.1102	0.06093	0.01928	-0.05951	0.08297	-2.723e-12	6.601e-14	-1.036e-14
c24	-3.326e-07	-8.085e-07	-5.004e-07	1.903e-06	-3.387e-06	-2.842e-06	1.337e-05	1.444e-05	-1.242e-05	-5.71e-06	-3.804e-06	3.969e-05	-0.0001744	-3.463e-05	-0.0003304	0.0008148	0.0005385	-0.002598	0.0111	0.006881	0.01371	-0.01378	0.1379	-0.01989	-0.004625	-0.02903	-0.03547	-0.1897	-0.4878	0.0785	0.8236	-0.1395	6.13e-12	-2.087e-13	3.547e-14
