BC-M-Sga	361	106317	5368062	25767	64	35.3	0	0	0	0	0	0	0	328	5062466	8	0	0	93845	2	6	50	0.96	2.89	5	1	0	0	99.588	1.02	230	48739	106317	1
BC-M-Soap	79	606530	5341631	246346	6	35.28	0	0	0	0	0	0	1	60	5133980	0	0	0	0	5	6	50	2.41	2.89	5	1	0	0	99.588	1.002	231	46937	606530	1
BC-M-Spades	113	346945	5395402	103691	17	35.36	0	0	0	0	0	0	2	93	4542562	8	0	3	630763	19	11	104	9.13	5.28	7	4	221	4.1	99.901	1.116	240	103897	346945	1
BC-M-Velvet	373	91844	5310336	24786	65	35.29	1	1	0	0	1	6055	2	339	5054777	1	0	1	53887	19	4	4	9.41	1.98	4	0	0	0	96.901	1.002	205	24180	90692	2
BF-H-Abyss	149	419237	7036707	106769	19	43.43	154	144	0	10	64	5508098	53	34	335943	28	9	22	347720	28510	1601	2749	661.17	37.13	1528	73	239	3.4	80.626	1.467	3391	186153	146158	13
BF-H-Cabog	136	363813	5213908	95840	18	43.41	102	96	0	6	48	3570138	48	24	277939	25	6	13	198312	28116	2721	4086	659.26	63.8	2631	90	0	0	79.582	1.109	3301	182457	94207	19
BF-H-Mira	174	378585	5340833	134263	12	43.47	115	108	0	7	42	4218273	50	88	269971	27	6	9	248800	28784	1353	2690	669.71	31.48	1266	87	131	2.45	80.39	1.117	3373	188970	134263	12
BF-H-Msrca	109	391846	5392427	158716	11	43.45	119	108	0	11	45	4167060	50	19	221693	17	2	12	217963	29482	1271	2748	684.22	29.5	1173	98	0	0	80.517	1.146	3377	185930	158716	11
BF-H-Sga	281	188622	5209075	45047	38	43.45	65	65	0	0	45	2145331	39	75	339100	52	8	31	339945	27275	1117	2267	641.35	26.27	1043	74	0	0	79.584	1.06	3303	133449	41244	40
BF-H-Soap	149	384109	5262789	125627	14	43.47	92	92	0	0	37	3785868	46	59	253980	21	5	13	263522	28301	1239	2509	660.86	28.93	1154	85	0	0	80.132	1.103	3360	185821	116105	15
BF-H-Spades	110	534462	5319487	157732	10	43.47	104	100	0	4	30	3997256	50	46	253522	18	3	12	232326	28649	1397	2651	666.63	32.51	1315	82	439	8.25	80.382	1.12	3373	185423	157732	10
BF-H-Velvet	142	286976	5261270	125214	14	43.46	98	94	0	4	33	3745674	46	63	257196	18	6	13	230190	28262	1333	2553	660.05	31.13	1252	81	0	0	80.117	1.109	3363	185610	125214	14
RS-H-Abyss	520	66408	4542138	13523	98	68.72	0	0	0	0	0	0	0	500	4287630	5	0	5	133184	8	3	3	7.06	2.65	3	0	8	0.18	99.281	1.07	93	19894	66408	1
RS-M-Abyss	382	71578	4503182	22050	67	68.77	0	0	0	0	0	0	0	372	4389183	1	0	0	39	9	3	3	7.91	2.64	3	0	0	0	99.71	1.001	99	25367	71578	1
RS-H-Cabog	534	41321	4214745	12421	111	68.94	0	0	0	0	0	0	0	510	4079297	4	0	0	20914	3	0	0	2.69	0	0	0	0	0	97.634	1.027	86	15696	40728	2
RS-M-Cabog	146	127844	3952525	41794	30	69.06	0	0	0	0	0	0	0	142	3887512	4	0	2	63273	0	0	0	0	0	0	0	210	5.31	1.094	1.393	0	705	127844	1
RS-H-Mira	640	110511	4494266	18568	69	68.89	0	0	0	0	0	0	0	586	4364722	3	0	1	20019	10	4	4	9.3	3.72	4	0	241	5.36	94.178	1.019	63	5728	110511	1
RS-M-Mira	731	67456	4609809	15792	90	68.75	0	0	0	0	0	0	0	623	4425615	9	0	1	56274	18	3	3	16.02	2.67	3	0	119	2.58	98.417	1.138	44	5447	67456	1
RS-H-Msrca	106	358962	4479673	176783	10	68.87	0	0	0	0	0	0	0	97	3707912	7	0	0	656233	105	4	4	91.96	3.5	4	0	0	0	100	1.012	104	57658	358962	1
RS-M-Msrca	58	241348	4246144	142742	12	68.9	0	0	0	0	0	0	0	52	3665724	6	0	0	578823	4	1	1	376.65	94.16	1	0	0	0	0.93	1.504	0	938	241348	1
RS-H-Sga	577	75323	4211737	12872	96	68.7	0	0	0	0	0	0	0	555	4070838	5	0	0	33048	3	0	0	2.79	0	0	0	0	0	94.031	1.005	86	17253	75323	1
RS-M-Sga	830	44874	4563433	9224	150	68.79	0	0	0	0	0	0	0	802	4398389	8	0	0	49550	8	3	3	7.07	2.65	3	0	0	0	99.156	1.02	89	16390	39550	2
