#Component	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
c17	-0.1917	0.2995	0.04169	-0.07978	0.08871	0.0352	0.026	6.407e-05	-0.2412	-0.1974	0.02134	0.1784	-0.2406	0.1233	0.3133	0.2536	-0.1321	0.14	0.1579	0.2701	-0.5514	0.03863	-0.1143	-0.05846	0.1824	0.01403	-0.01534
c18	-0.1915	0.2996	0.05993	-0.001095	0.1299	0.0164	-0.00994	-0.03959	-0.2016	-0.2816	-0.002071	0.1046	-0.1304	-0.01439	0.359	0.1828	0.07575	0.09343	-0.04875	-0.1217	0.6445	-0.02383	-0.003447	0.07236	-0.2944	-0.02186	0.02961
c19	-0.155	-0.0273	-0.371	-0.2915	0.2125	-0.05884	0.02944	-0.000296	0.01561	-0.1429	0.2272	-0.5489	0.07785	0.1595	0.03609	0.132	-0.1359	-0.4042	-0.07001	0.1711	0.04735	-0.2029	-0.1174	-0.004564	0.004239	-0.07809	-0.006013
c20	-0.1477	-0.04097	-0.3198	-0.2596	0.2015	0.02802	-0.3063	-0.6907	0.1147	0.1634	-0.2123	0.303	-0.04771	0.00218	-0.1026	0.04045	0.01711	-0.01122	0.02347	-0.03208	0.009084	0.02801	0.02092	-0.006786	0.004994	0.004041	0.0004391
c21	-0.08155	-0.03922	-0.05386	0.4819	0.4963	0.03884	-0.01639	0.03244	0.0634	0.004616	0.01104	-0.009358	-0.01861	-0.03139	0.01675	0.02475	0.03693	0.0129	-0.06278	-0.07407	0.1772	-0.00509	-0.03113	-0.3774	0.5614	-0.0001027	-0.01227
c22	-0.08099	-0.04202	-0.05266	0.4844	0.4918	0.03975	-0.01438	0.0342	0.06422	0.03043	-0.02359	0.002373	0.006659	0.07283	-0.06977	-0.07847	-0.02951	-0.05409	0.08004	0.0973	-0.2444	0.000914	0.03454	0.3631	-0.5244	0.002617	0.00361
c23	-0.235	-0.1343	0.1939	0.1398	-0.1416	-0.03157	0.05542	0.04464	-0.2373	0.1338	-0.2717	0.1905	0.1226	-0.08175	-0.2399	0.3876	-0.1561	-0.4016	-0.06617	0.4344	0.1761	0.01202	0.1105	-0.002285	0.02338	0.08156	-0.02063
c24	-0.2599	-0.145	0.02455	0.007103	-0.05521	0.06984	-0.1745	-0.05013	-0.1701	0.1426	-0.03671	-0.2355	0.026	0.02498	0.2923	-0.5275	-0.3346	0.1544	0.02611	0.2919	0.1441	0.3549	0.1531	-0.0002198	0.04744	0.06751	-0.01656
c25	-0.2025	0.07084	0.08462	0.1931	-0.1539	-0.4904	-0.03328	-0.1902	0.05249	-0.0458	-0.2301	-0.2937	-0.2178	-0.4385	0.1189	-0.01045	-0.04707	-0.09515	-0.1679	-0.2219	-0.1781	-0.05902	-0.08209	0.03899	-0.01429	0.03245	-0.2768
c26	-0.19	0.0222	-0.02519	0.3028	-0.2888	-0.2469	0.4135	-0.3822	0.01303	0.09951	0.3474	0.03526	-0.03321	0.4793	-0.0803	0.002709	0.01237	0.01798	0.05334	-0.05011	0.07191	0.1399	-0.08522	-0.002893	0.007413	-0.04969	-0.006754
c27	-0.2004	-0.111	-0.2023	0.1799	-0.2651	0.2692	-0.2711	0.144	-0.01749	-0.1	0.2436	0.3056	-0.05501	-0.07403	-0.04423	-0.0874	-0.3833	-0.1212	-0.2319	-0.2187	-0.03712	-0.12	-0.4048	-0.06673	-0.09231	-0.0152	0.003256
c28	-0.1672	-0.04294	0.07636	-0.1164	0.09357	-0.6107	-0.4877	0.3025	0.09145	-0.004557	0.2357	0.1624	0.1485	0.1862	-0.1024	0.0856	0.01039	0.08211	0.1642	-0.04754	0.03749	0.1012	0.03692	-0.03123	-0.01031	0.157	-0.008409
#Scores	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
1	-3.826	-1.192	-3.841	-0.7089	-0.2707	-0.09804	0.6006	0.6921	0.65	-0.1186	-0.7527	-0.06529	0.3073	-0.001555	0.2131	0.09116	0.006091	0.5015	-0.1245	-0.06831	-0.02346	-0.1472	0.3612	0.007097	-0.01824	0.07727	-0.0001617
2	-4.432	-0.8383	-4.232	-1.165	-0.1981	0.1388	0.4235	0.4697	0.602	-0.5237	-0.4839	-0.2844	0.04275	0.09721	0.1738	0.1867	-0.07201	0.03114	-0.07446	-0.003749	-0.0264	-0.2612	0.4912	0.03916	0.03135	-0.03109	-0.00395
3	-3.998	-1.068	-3.819	-1.153	0.463	-0.1952	0.4877	0.3117	0.5709	-0.1903	-0.8615	-0.1427	0.259	0.1757	0.05974	-0.04061	-0.08115	-0.2089	0.08177	-0.1371	0.04688	0.2568	-0.4645	-0.1137	-0.06959	-0.0519	-0.01861
4	-5.798	-1.616	-6.454	0.3816	-2.64	1.591	-0.8954	1.331	2.089	-2.526	-0.4909	0.3383	-0.4129	-0.3458	-0.06724	-0.1902	1.064	-0.5394	0.4779	0.3557	-0.04474	0.06123	-0.004006	0.03326	0.07657	-0.01104	0.01059
5	-4.916	0.6441	-2.768	-2.656	1.753	-0.943	0.6298	0.2207	-1.204	0.01389	0.1221	0.1099	-0.5926	0.2983	-0.1195	-0.08615	-0.01446	-0.09757	-0.1938	-0.04499	0.01378	0.04245	-0.04306	-0.006862	-0.02885	-0.03146	-0.01696
6	-3.857	-1.049	-4.091	-1.257	-0.003316	-0.1724	0.4276	0.4404	0.5784	-0.3693	-0.8156	-0.4496	0.2046	0.384	0.1431	0.1932	-0.2325	-0.1581	-0.0846	-0.09403	0.04302	0.006478	-0.007975	-0.05637	-0.03847	-0.03444	-0.01389
7	-4.256	-1.18	-4.538	-0.7042	-0.6027	0.3088	0.1937	0.6789	0.9622	-0.8194	-0.82	-0.2053	0.07075	0.1558	0.1299	0.05538	0.06247	-0.2162	0.08722	-0.03503	0.01449	0.08362	-0.02536	-0.04021	-0.01208	-0.03217	-0.005129
8	-3.781	-1.051	-3.85	-1.302	0.1319	-0.3647	0.7848	0.5929	0.3928	0.05176	-0.6252	-0.3912	0.2997	0.1515	0.2003	0.142	-0.1539	0.2004	-0.2304	-0.01126	0.03978	-0.2243	0.1373	-0.007468	-0.04422	0.01716	-0.01374
9	-3.794	-1.5	-1.778	-2.408	1.441	-0.5843	-0.5936	-0.6737	0.3936	0.8672	0.6344	-0.1634	0.5026	0.0003987	0.149	0.243	0.3516	-0.0258	0.04457	-0.07671	-0.02005	0.1391	-0.1052	0.04661	-0.03055	0.03498	-0.004281
10	-5.518	0.7418	-0.5414	8.523	5.515	-1.411	0.1973	-1.014	-0.3533	-1.271	-0.04576	-0.168	-0.3024	-0.2055	0.9877	0.325	0.4204	0.223	-0.2573	-0.2772	1.075	-0.0961	-0.1489	-0.108	-0.03857	-0.01533	0.03528
11	-3.58	-1.383	-3.177	-2.364	1.324	-0.3541	-0.8552	-1.588	0.3186	0.9561	-0.02258	0.07023	0.2595	-0.01456	0.009266	0.2482	0.2775	0.1519	-0.09022	0.2207	0.07109	-0.02722	0.1003	0.03001	-0.01691	0.02514	-0.008923
12	-3.195	-0.06893	0.09604	1.405	-1.704	-1.777	-0.1251	-0.6186	-0.008042	-0.1058	-0.4385	-0.665	-0.5285	-0.7836	0.1818	0.03564	0.07163	-0.2856	-0.2087	-0.1001	-0.2545	0.1337	-0.2305	-0.0574	-0.07901	0.05294	-0.04138
13	-4.24	-1.802	-1.884	-2.072	1.687	-0.4771	0.7536	0.273	0.2996	0.7924	1.355	-0.2102	0.2356	-0.9878	0.07621	0.1126	0.4354	0.5579	0.00527	0.3083	-0.008838	-0.3091	0.09967	0.1327	-0.00789	-0.03485	-0.01495
