Assembly	Velvet broken	Velvet
# misassemblies	14	14
    # relocations	12	12
    # translocations	2	2
    # inversions	0	0
# misassembled contigs	14	14
Misassembled contigs length	749414	749414
# local misassemblies	2	2
# mismatches	161	161
# indels	110	110
    # short indels (<= 5 bp)	104	104
    # long indels (> 5 bp)	6	6
Indels length	168	168
