All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     209_MA-H-Abyss-Scaffold broken    209_MA-H-Abyss-Scaffold    209_MA-H-Cabog-Scaffold broken    209_MA-H-Cabog-Scaffold    209_MA-H-Msrca-Scaffold broken    209_MA-H-Msrca-Scaffold    209_MA-H-Sga-Scaffold broken    209_MA-H-Sga-Scaffold    209_MA-H-Soap-Scaffold broken    209_MA-H-Soap-Scaffold    209_MA-H-Spades-Scaffold broken    209_MA-H-Spades-Scaffold    209_MA-H-Velvet-Scaffold broken    209_MA-H-Velvet-Scaffold    211_MA-M-Abyss-Scaffold broken    211_MA-M-Abyss-Scaffold    211_MA-M-Cabog-Scaffold broken    211_MA-M-Cabog-Scaffold    211_MA-M-Msrca-Scaffold broken    211_MA-M-Msrca-Scaffold    211_MA-M-Sga-Scaffold broken    211_MA-M-Sga-Scaffold    211_MA-M-Soap-Scaffold broken    211_MA-M-Soap-Scaffold    211_MA-M-Spades-Scaffold broken    211_MA-M-Spades-Scaffold    211_MA-M-Velvet-Scaffold broken    211_MA-M-Velvet-Scaffold
# unaligned contigs          0 + 3 part                        0 + 1 part                 0 + 5 part                        0 + 5 part                 0 + 0 part                        0 + 0 part                 0 + 3 part                      0 + 3 part               1 + 1 part                       1 + 1 part                0 + 1 part                         0 + 1 part                  0 + 2 part                         0 + 0 part                  0 + 5 part                        0 + 5 part                 5 + 14 part                       5 + 14 part                1 + 14 part                       1 + 14 part                4 + 5 part                      4 + 5 part               1 + 1 part                       1 + 1 part                20 + 0 part                        20 + 0 part                 1 + 7 part                         1 + 6 part                  
Unaligned contigs length     66194                             11899                      65564                             65564                      0                                 0                          66157                           66157                    17284                            17284                     54215                              54215                       66112                              0                           78075                             78075                      75046                             75046                      72188                             72188                      67076                           67076                    17284                            17284                     21977                              21977                       46877                              46864                       
Genome fraction (%)          99.057                            99.134                     98.890                            98.892                     99.341                            99.397                     98.834                          98.834                   99.196                           99.199                    99.352                             99.352                      99.146                             99.167                      98.922                            98.927                     96.186                            96.186                     98.380                            98.380                     99.062                          99.062                   99.139                           99.142                    99.413                             99.413                      98.965                             98.970                      
Duplication ratio            1.019                             1.030                      1.004                             1.012                      1.018                             1.017                      1.005                           1.005                    1.022                            1.022                     1.077                              1.077                       1.019                              1.035                       1.004                             1.005                      1.030                             1.030                      1.068                             1.068                      1.023                           1.023                    1.028                            1.028                     1.020                              1.020                       1.018                              1.019                       
# N's per 100 kbp            1.72                              67.83                      0.00                              8.09                       0.00                              2.72                       0.00                            0.00                     0.00                             13.84                     0.00                               0.00                        0.00                               262.49                      0.33                              6.23                       0.00                              3.91                       0.00                              0.37                       0.00                            0.00                     0.00                             21.54                     3.56                               3.56                        0.00                               17.28                       
# mismatches per 100 kbp     10.00                             9.77                       8.55                              8.79                       49.65                             50.89                      1.08                            1.08                     1.71                             1.71                      4.96                               4.96                        3.05                               3.05                        1.59                              1.89                       4.15                              4.15                       2.88                              2.88                       1.41                            1.41                     2.08                             2.08                      4.68                               4.68                        2.48                               2.50                        
# indels per 100 kbp         2.51                              4.25                       5.83                              8.45                       6.53                              7.17                       1.50                            1.50                     1.25                             1.25                      3.84                               3.60                        0.92                               1.25                        0.72                              2.47                       0.74                              0.78                       1.66                              1.68                       0.42                            0.42                     1.31                             1.96                      1.07                               1.07                        0.70                               0.72                        
# genes                      4877 + 83 part                    4889 + 76 part             4827 + 136 part                   4835 + 128 part            4910 + 56 part                    4913 + 54 part             4711 + 244 part                 4711 + 244 part          4888 + 74 part                   4888 + 74 part            4908 + 57 part                     4908 + 57 part              4822 + 135 part                    4827 + 130 part             4823 + 132 part                   4830 + 125 part            4148 + 740 part                   4149 + 739 part            4790 + 139 part                   4791 + 138 part            4465 + 499 part                 4465 + 499 part          4877 + 82 part                   4877 + 82 part            4913 + 54 part                     4913 + 54 part              4746 + 214 part                    4747 + 213 part             
Largest alignment            303330                            663800                     238341                            238341                     309535                            309535                     101254                          101254                   474277                           474277                    628906                             628906                      191465                             522498                      245660                            245660                     40668                             40668                      104372                            104372                     59847                           59847                    261142                           261142                    498363                             498363                      130350                             130350                      
NA50                         98139                             127410                     78165                             89623                      187809                            187809                     27712                           27712                    147199                           147925                    209754                             209754                      58337                              147850                      62480                             70126                      8265                              8537                       35496                             35496                      12516                           12516                    113272                           147162                    209894                             209894                      40129                              51675                       
NGA50                        98139                             127410                     78165                             89623                      187809                            187809                     27760                           27760                    147199                           147925                    213402                             213402                      58337                              147850                      64844                             70126                      8293                              8548                       37156                             37156                      12834                           12834                    113272                           147162                    209894                             209894                      41485                              51675                       
NA75                         63630                             79589                      38766                             42892                      88132                             88132                      15475                           15475                    75472                            76847                     92091                              92091                       34078                              76430                       30894                             35186                      4459                              4482                       17197                             17299                      7060                            7060                     63022                            68982                     89745                              89745                       20444                              26503                       
NGA75                        64708                             79589                      40137                             42892                      88132                             88132                      15983                           15983                    75472                            79786                     117110                             117110                      35836                              79647                       31165                             36304                      4497                              4529                       20039                             20043                      7623                            7623                     63420                            70375                     89745                              89745                       20620                              27331                       
LA50                         17                                10                         23                                21                         10                                10                         57                              57                       12                               11                        10                                 10                          29                                 10                          26                                24                         182                               177                        53                                53                         130                             130                      15                               13                        9                                  9                           40                                 34                          
LGA50                        17                                10                         23                                21                         10                                10                         56                              56                       12                               11                        9                                  9                           29                                 10                          25                                24                         181                               176                        49                                49                         125                             125                      15                               13                        9                                  9                           39                                 34                          
LA75                         34                                22                         47                                40                         19                                19                         116                             116                      24                               23                        20                                 20                          57                                 22                          54                                49                         395                               387                        109                               108                        264                             264                      32                               27                        18                                 18                          83                                 70                          
LGA75                        33                                22                         46                                40                         19                                19                         114                             114                      24                               22                        17                                 17                          56                                 21                          53                                48                         390                               383                        95                                95                         251                             251                      31                               26                        18                                 18                          81                                 68                          
