Assembly	GAGE-B broken	GAGE-B	SOAPdenovo2 broken	SOAPdenovo2
# fully unaligned contigs	2	2	2	2
Fully unaligned length	5991	5991	5991	5991
# partially unaligned contigs	3	2	0	4
    # with misassembly	0	0	0	1
    # both parts are significant	0	0	0	2
Partially unaligned length	489	478	0	2958
# N's	0	3632	0	40589
