Assembly	RS-H-Abyss	RS-M-Abyss	RS-H-Cabog	RS-M-Cabog	RS-H-Mira	RS-M-Mira	RS-H-Msrca	RS-M-Msrca	RS-H-Sga	RS-M-Sga	RS-H-Soap	RS-M-Soap	RS-H-Spades	RS-M-Spades	RS-H-Velvet	RS-M-Velvet
# fully unaligned contigs	385	298	399	105	514	616	64	39	448	637	585	275	113	67	448	247
Fully unaligned length	3423279	3589043	3249316	2902044	3377470	3549022	2820865	2600138	3253730	3531070	3489132	3553074	3366868	2886590	3559995	3527037
# partially unaligned contigs	13	1	13	8	16	18	14	9	14	16	4	11	11	13	2	3
    # with misassembly	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0
    # both parts are significant	8	0	2	4	5	3	3	3	0	0	0	0	7	4	0	0
Partially unaligned length	178575	1228	72732	138273	176081	109452	713870	692588	97424	96993	32130	45541	316472	746661	6116	39136
# N's	8	0	0	210	241	119	0	0	0	0	0	0	691	466	0	0
