BC-M-Soap	79	123	73	606530	5341631	5352193	5337776	246346	78462	6	16	35,28	0	0	0	0	0	0	20	13	197377	0	0	0	0	473	153	377	9,2	2,98	145	8	0	0	98,414	1,003	5605	606357	246346	78614	246346	78462	246346	78614	6	15	6	16	6	15
BC-H-Spades	252	1127	179	459337	5729752	5962659	5678972	94312	37419	15	38	35,26	5	5	0	0	5	3725	0	179	2603093	55	17	28	3056794	722	55	62	2353,02	179,25	55	0	919	16,04	1,09	1,229	88	9186	101608	55255	NA	NA	NA	NA	13	30	NA	NA	NA	NA
BC-M-Spades	113	50090	99	346945	5395402	17888992	5385812	103691	60216	17	34	35,36	4	4	0	0	3	1999	12	2	1266	6	4	3	196781	673	151	525	13,03	2,92	137	14	221	4,1	98,997	1,007	5662	346882	105260	64958	103691	57465	105260	60216	16	32	17	35	16	33
BC-H-Velvet	282	527	251	267159	4966856	5016338	4944132	44126	20909	33	74	35,48	0	0	0	0	0	0	0	250	3773534	27	4	15	1151206	1027	35	39	3487,03	118,84	35	0	0	0	0,789	1,022	46	9186	40368	16783	NA	NA	NA	NA	36	84	NA	NA	NA	NA
BC-M-Velvet	373	444	351	91844	5310336	5325180	5295268	24786	13917	65	136	35,29	2	2	0	0	2	66858	9	30	191076	3	0	0	266	313	162	414	6,12	3,17	155	7	0	0	97,939	1,003	5349	91844	24921	14414	24577	13419	24921	13814	64	131	66	138	64	133
BC-H-Abyss	374	894	325	257581	5805336	5879341	5771919	42572	19054	38	92	35,2	NA	NA	NA	NA	NA	NA	NA	374	5805336	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	x	0	NA	NA	NA	NA	257581	257581	NA	NA	NA	NA	1	1	NA	NA	NA	NA
BC-M-Abyss	87	617	82	430487	5380960	5431491	5376981	130570	69698	12	26	35,3	0	0	0	0	0	0	2	70	4636430	8	1	8	511520	15	11	89	7,24	5,31	7	4	5511	102,42	99,427	1,125	234	69698	430487	430487	NA	NA	39488	23521	1	1	NA	NA	2	4
BC-H-Cabog	163	164	163	387299	4796994	4797470	4796994	79405	31477	17	43	34,96	NA	NA	NA	NA	NA	NA	NA	163	4796994	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	387299	387299	NA	NA	NA	NA	1	1	NA	NA	NA	NA
BC-M-Cabog	77	78	77	258489	5419570	5419995	5419570	155352	76333	13	26	35,41	0	0	0	0	0	0	0	61	4506052	7	2	7	685080	2	5	5	1,03	2,59	5	0	0	0	99,93	1,097	236	74529	258489	258489	NA	NA	22638	14100	1	1	NA	NA	3	6
BC-H-Mira	610	687	437	524448	5641826	5670388	5517018	43373	15003	28	85	35,21	NA	NA	NA	NA	NA	NA	NA	610	5641826	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	256	4,54	NA	NA	NA	NA	524448	524448	NA	NA	NA	NA	1	1	NA	NA	NA	NA
