#Component	1	2
#Std. deviation	1.285	0.591
#Proportion of variance explained	0.8254	0.1746
#Loadings	1	2
221	0.7179	0.1164
222	1.247	-0.4246
223	1.855	-0.6597
224	0.439	0.3301
225	-0.7063	0.3618
226	-0.6432	0.4468
227	1.308	-0.1655
228	0.335	0.2979
229	0.2801	0.495
230	2.435	-1.565
231	-0.09889	0.5718
232	0.4245	0.3861
233	0.5692	0.2591
234	0.03287	0.5408
235	0.5519	0.4304
236	-0.2502	0.5573
237	0.7179	0.1164
238	1.247	-0.4246
239	1.855	-0.6597
240	0.439	0.3301
241	-0.7063	0.3618
242	-0.6432	0.4468
243	1.308	-0.1655
244	0.335	0.2979
245	0.2801	0.495
246	2.435	-1.565
247	-0.09889	0.5718
248	0.4245	0.3861
249	0.2321	0.5903
250	0.8874	0.3201
251	-2.117	-3.008
252	0.7834	0.1339
253	-0.2523	0.6246
254	0.2057	0.5634
255	0.6888	0.1217
256	0.6685	0.1421
