#Component	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
#Std. deviation	2.808	2.137	1.432	1.406	1.1	0.9767	0.82	0.7611	0.5117	0.5101	0.3545	0.3392	0.2878	0.2647	0.2625	0.2354	0.1535	0.1414	0.0987	0.08554	0.04474
#Proportion of variance explained	0.3756	0.2175	0.09759	0.09418	0.05759	0.04542	0.03202	0.02758	0.01247	0.01239	0.005985	0.00548	0.003944	0.003336	0.003281	0.002638	0.001122	0.0009521	0.0004639	0.0003484	9.532e-05
#Loadings	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
#Scores	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
1	-1.501	-3.761	1.988	-2.28	-0.1945	0.387	-0.3814	0.1026	0.5155	-1.186	-0.3323	-0.4983	-0.06412	-0.2647	-0.34	-0.5567	0.2774	0.06132	0.04573	0.03136	0.0114
2	-2.046	-3.689	1.635	-2.562	-0.03419	0.7373	-0.4223	0.4571	0.1509	-1.047	-0.2206	-0.2459	-0.003216	-0.3798	-0.3409	-0.4176	0.5377	0.1941	0.185	0.01358	0.004022
3	-1.241	-2.768	2.015	-2.174	-0.3662	-0.03531	-0.4167	0.09688	0.3793	-1.388	0.2541	-0.2421	-0.3268	0.2638	0.3283	0.5727	-0.4152	-0.216	-0.1599	0.06787	-0.07171
4	-3.458	-8.509	0.136	-3.532	1.577	3.857	-0.306	4.09	-0.1728	-1.538	0.1824	0.457	1.4	0.4651	-0.3685	0.8777	-0.05391	0.172	0.08275	-0.04245	0.0334
5	-2.489	0.2358	2.751	-2.638	-1.451	-1.384	-0.3873	-0.4842	-0.8972	0.388	0.856	0.2265	0.002782	-0.1037	0.2413	-0.08688	0.03934	-0.04447	-0.007472	0.01203	-0.04816
6	-1.382	-3.353	1.801	-2.028	-0.5257	0.2853	-0.2626	0.1555	0.3291	-1.541	0.1551	-0.4374	-0.3375	-0.2333	0.08789	0.04555	0.09019	-0.05933	-0.04724	0.04953	-0.04109
7	-1.844	-4.54	1.374	-2.379	0.05422	1.063	-0.3132	0.9989	0.2764	-1.63	0.1524	-0.1969	0.0004748	-0.01644	-0.005193	0.327	0.02539	-0.01318	-0.009723	0.03357	-0.02302
8	-1.355	-3.081	2.239	-2.224	-0.6586	-0.02303	-0.4374	-0.3266	0.5086	-1.076	-0.1334	-0.4351	-0.2005	-0.1893	-0.1938	-0.5078	0.162	-0.04006	-0.006073	0.0334	-0.01912
9	0.5529	0.5669	2.136	-2.174	0.4278	-0.1892	1.266	-0.6885	0.1797	0.7916	-0.5391	-0.5589	0.3064	0.05216	-0.2655	0.2213	-0.05077	-0.09388	-0.1708	-0.07165	-0.01844
10	-3.922	-1.138	1.2	3.589	5.827	-4.845	-1.374	1.1	-1.158	-0.5567	0.1778	0.03554	0.07953	-0.003678	-1.014	-0.05152	0.1382	-1.151	0.002649	0.1541	0.09632
11	0.07898	-1.084	1.621	-1.739	-0.7233	-0.633	0.513	-0.5464	0.2732	0.3267	-0.5453	-0.3397	0.5486	-0.1987	-0.4436	-0.3397	-0.01248	-0.05552	-0.05974	-0.02722	-0.01592
12	-1.775	-1.127	1.363	2.592	0.8792	0.9572	1.001	-0.9801	-0.6381	-0.9796	-0.05447	1.015	-0.118	0.5373	-0.1305	0.03106	-0.1443	0.06386	-0.2769	-0.004567	-0.1205
13	0.3033	0.2052	2.958	-3.435	0.8639	-0.221	-0.2113	-0.7504	0.335	1.682	-1.406	0.4182	0.7373	0.07474	-0.6809	-0.579	-0.08809	-0.009477	0.1526	-0.05273	-0.02693
14	-2.11	-0.759	1.421	2.768	1.136	0.8215	0.6994	-1.206	-0.3768	-0.639	-0.3727	0.6022	-0.07674	0.5967	-0.1062	-0.1504	-0.05783	0.1804	-0.1437	0.03965	-0.1571
15	-0.3212	-1.247	2.079	-2.751	0.07425	-0.3065	0.6669	-1.058	0.3608	0.1957	-0.4644	-0.3376	0.2103	0.2681	-0.4427	-0.2108	-0.1406	-0.1226	0.001503	-0.02855	-0.03723
16	-3.742	-3.362	0.8509	3.474	2.7	2.937	-0.7248	-1.55	-0.7851	1.021	0.2578	-0.1366	0.2075	-0.1538	-0.229	-0.1922	0.3456	0.2178	0.002335	-0.1131	-0.09887
17	1.883	2.158	2.366	-1.083	0.4494	0.1918	1.72	0.8552	-0.03679	1.427	-0.5571	-0.7832	0.4364	-0.6271	0.2539	0.7584	-0.0007146	-0.1716	-0.6166	-0.06894	0.01169
18	-0.3928	1.182	3.513	2.787	0.06906	0.4326	2.01	0.5997	-0.155	-0.3613	-0.005692	0.4021	-0.4091	0.2054	-0.1775	-0.1517	0.0324	0.01949	-0.06834	-0.09807	-0.1323
19	0.6976	0.02654	1.567	-1.721	0.2483	-0.2555	1.35	-0.6352	-0.03727	0.37	-0.4923	-0.5993	0.2815	-0.2292	-0.1329	0.145	0.05274	-0.06031	-0.1282	-0.01175	-0.005422
20	-2.894	-2.731	0.7844	3.455	2.125	2.253	-0.4022	-1.142	-1.653	0.06788	-0.2824	-0.1698	0.3449	0.1221	0.05902	-0.07987	0.09638	0.1493	0.06019	-0.1845	0.01828
21	-0.5744	-1.405	2.467	-3.026	0.9168	-1.132	0.2035	-0.8593	0.8638	0.1193	-0.5498	-0.3372	0.2259	0.2405	-0.5375	-0.2669	0.0028	0.06314	0.04196	-0.02899	-0.06689
22	-2.047	-0.8917	1.602	2.979	1.18	0.7134	0.4952	-1.107	-0.8924	-0.6132	-0.2353	0.3184	-0.2961	0.3194	-0.2807	-0.2156	0.2464	-0.009	-0.0529	-0.179	-0.01882
