Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	# contigs	Total length	Largest contig	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
velvet	209	124	3960394	3921645	156	3944260	246346	47.52	92036	43442	15	31	0.00
msrca	173	142	4034988	4014349	163	4030761	255146	47.47	76131	45736	16	33	0.00
