Assembly	RS-H-Abyss	RS-M-Abyss	RS-H-Cabog	RS-M-Cabog	RS-H-Mira	RS-M-Mira	RS-H-Msrca	RS-M-Msrca	RS-H-Sga	RS-M-Sga	RS-H-Soap	RS-M-Soap	RS-H-Spades	RS-M-Spades	RS-H-Velvet	RS-M-Velvet
# fully unaligned contigs	497	362	528	146	586	665	85	47	551	798	692	322	144	86	564	312
Fully unaligned length	4393517	4405669	4187921	3952525	4385470	4469428	4156613	4009279	4146869	4430364	4366531	4382974	4486966	4299820	4381207	4389039
# partially unaligned contigs	6	1	1	-	10	8	9	4	1	10	2	5	5	10	1	2
    # with misassembly	0	0	0	-	1	3	3	2	0	1	0	0	1	3	0	0
    # both parts are significant	2	1	0	-	3	6	3	2	0	0	0	1	5	6	0	1
Partially unaligned length	38868	1479	2346	-	25458	25881	233103	165608	435	28078	3174	53160	34389	181001	1455	6257
# N's	8	0	0	210	241	119	0	0	0	0	0	0	691	466	0	0
