Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	# contigs	Total length	Largest contig	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
dataset_671.dat broken	258	134	4913541	4874782	156	4889453	307295	65.12	83025	42656	20	40	0.00
dataset_671.dat	240	119	4917523	4880270	139	4893641	378254	65.12	105255	50296	16	33	81.37
