Assembly	VC-H-Abyss	VC-M-Abyss	VC-H-Cabog	VC-M-Cabog	VC-H-Mira	VC-M-Mira	VC-H-Msrca	VC-M-Msrca	VC-H-Sga	VC-M-Sga	VC-H-Soap	VC-M-Soap	VC-H-Spades	VC-M-Spades	VC-H-Velvet	VC-M-Velvet
# fully unaligned contigs	71	93	22	74	63	57	42	60	135	123	51	76	73	100	89	64
Fully unaligned length	405031	1005322	400609	575592	229410	210195	253869	497891	854343	848968	514780	661561	411898	198492	793500	475730
# partially unaligned contigs	8	0	15	23	17	20	14	25	12	18	5	10	18	15	5	19
    # with misassembly	3	0	3	3	3	8	5	5	0	1	2	0	5	6	1	5
    # both parts are significant	3	0	3	5	2	6	9	7	0	0	1	0	0	6	1	3
Partially unaligned length	614664	0	548333	441445	788832	842699	790848	564374	137947	163608	505039	357144	612415	886549	217738	597804
# N's	4125	0	0	0	198	70	0	0	0	0	0	0	0	209	0	0
