Assembly	GAGE-B broken	GAGE-B	SOAPdenovo2 broken	SOAPdenovo2
# fully unaligned contigs	1	1	1	1
Fully unaligned length	551	551	551	551
# partially unaligned contigs	1	1	0	3
    # with misassembly	0	0	0	0
    # both parts are significant	0	0	0	0
Partially unaligned length	52	52	0	756
# N's	0	2208	2	51094
