Assembly	GAGE-B	SOAPdenovo2
# fully unaligned contigs	2	2
Fully unaligned length	5991	5991
# partially unaligned contigs	3	0
    # with misassembly	0	0
    # both parts are significant	0	0
Partially unaligned length	489	0
# N's	0	0
