Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	# contigs	Total length	Largest contig	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
Hiseq	144	142	3849141	3848582	142	3848582	224340	47.54	57089	30707	20	43	0.00
Miseq	188	188	318746	318746	188	318746	5646	41.54	1707	1367	69	121	0.00
