Assembly	dataset_2194.dat
# misassemblies	4
    # relocations	4
    # translocations	0
    # inversions	0
# misassembled contigs	3
Misassembled contigs length	533480
# local misassemblies	1
# mismatches	270
# indels	132
    # short indels (<= 5 bp)	130
    # long indels (> 5 bp)	2
Indels length	173
