All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                      dataset_2194.dat
# misassemblies               4               
    # relocations             4               
    # translocations          0               
    # inversions              0               
# misassembled contigs        3               
Misassembled contigs length   533480          
# local misassemblies         1               
# mismatches                  270             
# indels                      132             
    # short indels (<= 5 bp)  130             
    # long indels (> 5 bp)    2               
Indels length                 173             
