Assembly	GAGE-B broken	GAGE-B	SOAPdenovo2 broken	SOAPdenovo2	SOAPdenovo2_GP broken	SOAPdenovo2_GP
# fully unaligned contigs	1	1	1	1	2	2
Fully unaligned length	551	551	551	551	5991	5991
# partially unaligned contigs	1	1	0	3	0	0
    # with misassembly	0	0	0	0	0	0
    # both parts are significant	0	0	0	0	0	0
Partially unaligned length	52	52	0	756	0	0
# N's	0	2208	2	51094	98	777
