Assembly	cabog broken	cabog
# fully unaligned contigs	40	10
Fully unaligned length	349640	216953
# partially unaligned contigs	32	25
    # with misassembly	20	20
    # both parts are significant	24	22
Partially unaligned length	3915649	4091281
# N's	0	1586
