All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly     # contigs (>= 0 bp)  # contigs (>= 1000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  # contigs  Total length  Largest contig  Reference length  GC (%)  Reference GC (%)  N50     NG50    N75     NG75    L50  LG50  L75  LG75  # misassemblies  Misassembled contigs length  # local misassemblies  # unaligned contigs  Unaligned contigs length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  NA50    NGA50   NA75    NGA75   LA50  LGA50  LA75  LGA75
BC-M-Abyss   617                  82                      5431491                 5376981                    87         5380960       430487          5224283           35.30   35.58             130570  130570  69698   70047   12   12    26   25    1                29730                        23                     1 + 9 part           196126                    98.498               1.012              102.42             6.59                      8.11                  430487             130570  130570  65667   70047   12    12     26    25   
BC-M-Cabog   78                   77                      5419995                 5419570                    77         5419570       258489          5224283           35.41   35.58             155352  155352  76333   83639   13   13    26   24    3                316206                       6                      3 + 8 part           196655                    99.316               1.008              0.00               4.95                      2.39                  258489             150479  155352  66337   81015   14    13     27    25   
BC-M-Mira    164                  96                      5422635                 5389079                    132        5413818       311769          5224283           35.42   35.58             116480  116480  52231   58582   14   14    32   29    7                467784                       12                     7 + 10 part          164489                    99.256               1.018              3.53               4.88                      2.20                  311769             100038  102705  51055   52231   15    14     34    31   
BC-M-Msrca   90                   55                      5440292                 5422846                    68         5432639       766822          5224283           35.39   35.58             246697  337861  170659  177353  6    5     13   12    8                274719                       11                     0 + 6 part           196772                    99.220               1.013              0.00               9.34                      3.63                  766822             246697  337861  170659  177353  6     5      13    12   
BC-M-Sga     3344                 320                     6180355                 5340740                    361        5368062       106317          5224283           35.30   35.58             25767   26552   16197   17410   64   61    129  122   1                508                          1                      11 + 11 part         196867                    98.516               1.005              0.00               0.87                      2.00                  106317             25425   25876   14810   16197   65    62     132   125  
BC-M-Soap    123                  73                      5352193                 5337776                    79         5341631       606530          5224283           35.28   35.58             246346  246346  78462   78614   6    6     16   15    0                0                            20                     13 + 0 part          197377                    98.414               1.003              0.00               9.20                      2.98                  606357             246346  246346  78462   78614   6     6      16    15   
BC-M-Spades  50090                99                      17888992                5385812                    113        5395402       346945          5224283           35.36   35.58             103691  105260  60216   64958   17   16    34   32    4                1999                         12                     2 + 6 part           198047                    98.997               1.007              4.10               13.03                     2.92                  346882             103691  105260  57465   60216   17    16     35    33   
BC-M-Velvet  444                  351                     5325180                 5295268                    373        5310336       91844           5224283           35.29   35.58             24786   24921   13917   14414   65   64    136  131   2                66858                        9                      30 + 3 part          191342                    97.939               1.003              0.00               6.12                      3.17                  91844              24577   24921   13419   13814   66    64     138   133  
