Assembly	CABOG_miseq_scf broken	CABOG_miseq_scf	CABOG_hiseq_scf broken	CABOG_hiseq_scf	MaSuRCA_miseq_scf broken	MaSuRCA_miseq_scf	MaSuRCA_hiseq_scf broken	MaSuRCA_hiseq_scf	SPAdes_miseq_scf broken	SPAdes_miseq_scf	SPAdes_hiseq_scf broken	SPAdes_hiseq_scf	Velvet_miseq_scf broken	Velvet_miseq_scf	Velvet_hiseq_scf broken	Velvet_hiseq_scf
# fully unaligned contigs	0	0	0	0	0	0	0	0	81	81	3	3	1	1	1	1
Fully unaligned length	0	0	0	0	0	0	0	0	55178	55178	2685	2685	5482	5482	549	549
# partially unaligned contigs	1	1	1	0	1	1	4	4	3	3	0	0	2	2	0	0
    # with misassembly	0	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0
    # both parts are significant	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Partially unaligned length	49	49	52	0	453	453	475	475	824	824	0	0	815	815	0	0
# N's	0	20	0	7039	0	40	0	940	0	0	0	0	0	50	0	20135
