Assembly	dataset_671.dat broken	dataset_671.dat
# contigs (>= 100 bp)	258	240
# contigs (>= 1000 bp)	134	119
Total length (>= 100 bp)	4913541	4917523
Total length (>= 1000 bp)	4874782	4880270
# contigs	156	139
Total length	4889453	4893641
Largest contig	307295	378254
GC (%)	65.12	65.12
N50	83025	105255
N75	42656	50296
L50	20	16
L75	40	33
# N's per 100 kbp	0.00	81.37
