Assembly	GAGE-B	Msrca_183_k89	Msrca_183_k99	Msrca_210_k89	Msrca_210_k99
# misassemblies	9	10	12	13	11
    # relocations	8	8	12	12	9
    # translocations	1	2	0	1	2
    # inversions	0	0	0	0	0
# misassembled contigs	6	7	10	12	11
Misassembled contigs length	716209	788570	194566	610408	151551
# local misassemblies	7	15	31	20	6
# mismatches	2717	2725	378	2024	196
# indels	271	478	529	664	131
    # short indels (<= 5 bp)	266	460	501	646	126
    # long indels (> 5 bp)	5	18	28	18	5
Indels length	333	828	1184	954	169
