ID or #		Start	End
gene2166		2379036	2379884
gene2167		2379865	2380518
gene2168		2380939	2384049
gene2169		2384080	2385408
gene2170		2385489	2386265
gene2171		2386265	2389159
gene2172		2389255	2390772
gene2173		2390797	2392113
gene2174		2392395	2393771
gene2175		2394101	2396419
gene2176		2396412	2397290
gene2177		2397287	2397772
gene2178		2398305	2401523
gene2179		2401661	2402206
gene2180		2402710	2402898
gene2181		2402958	2404484
gene2327		2576258	2579005
gene2328		2579156	2579923
gene2384		2639183	2639259
gene2385		2639357	2639433
gene2386		2639530	2639606
gene2387		2639703	2639779
gene2388		2639876	2639952
gene2408		2656667	2657512
gene2409		2657869	2658441
gene2410		2658399	2658830
gene2411		2659000	2659506
gene2476		2756286	2757479
gene2477		2757805	2758356
gene2478		2758502	2760502
gene2479		2760580	2761854
gene2480		2762043	2763683
gene2481		2763646	2764140
gene2482		2764309	2764671
gene2483		2764858	2766162
gene2484		2766342	2766734
gene2485		2766807	2767832
gene2486		2767896	2768540
gene2487		2768795	2770720
gene2488		2770954	2771556
gene2489		2771682	2772539
gene2490		2772551	2774680
gene2491		2775035	2775433
gene2492		2775515	2777659
gene2493		2777706	2778305
gene2495		2781291	2783159
gene2496		2783748	2784413
gene2497		2784413	2786284
gene2498		2786286	2787239
gene2499		2787320	2789038
gene2500		2789048	2789605
gene2501		2789605	2790420
gene2502		2790413	2790826
gene2536		2826979	2827066
gene2537		2827250	2829091
gene2538		2829543	2829618
gene2539		2829621	2829696
gene2588		2887842	2888849
gene2589		2888869	2890722
gene2590		2890819	2891325
gene2591		2891392	2892249
gene2592		2892311	2892982
gene2593		2893155	2893751
gene2594		2893751	2894149
gene2595		2894218	2895564
gene2596		2895639	2895989
gene2597		2896087	2898252
gene2598		2898328	2899146
gene2599		2899292	2900635
gene2600		2900868	2900944
gene2601		2901009	2901560
gene2602		2901652	2903025
gene2603		2903101	2903556
gene2604		2903747	2904973
gene2684		2999464	3001338
gene2685		3001356	3001814
gene2686		3001952	3004618
gene2687		3004713	3006098
gene2688		3005995	3008367
gene2689		3008682	3009494
gene2690		3009584	3009871
gene2691		3010234	3011610
gene2723		3066900	3068234
gene2724		3068367	3068966
gene2728		3070152	3071489
gene2729		3071696	3072076
gene2753		3094830	3096206
gene2754		3096397	3096894
gene2755		3096884	3097579
gene2756		3097576	3098301
gene2757		3098388	3099341
gene2758		3099390	3100058
gene2759		3100055	3100684
gene2760		3100834	3101445
gene2761		3101576	3103807
gene2762		3103864	3104835
gene2763		3104847	3106838
gene2768		3111386	3111461
gene2907		3270167	3273316
gene2908		3273334	3274527
gene2927		3294085	3294327
gene2928		3294525	3295067
gene2929		3295137	3295580
gene2930		3295763	3296974
gene2931		3297650	3298612
gene2932		3298985	3299959
gene2933		3299983	3300750
gene2934		3300747	3301577
gene2935		3301574	3302428
gene2936		3302680	3304344
gene2937		3304433	3305794
gene2938		3305984	3306880
gene2939		3306892	3307224
gene2940		3307225	3307836
gene2941		3307841	3309817
gene2942		3309817	3310860
gene2979		3357741	3359669
gene3023		3414420	3414494
gene3042		3435436	3436662
gene3043		3436764	3437192
gene3044		3437373	3438284
gene3045		3438464	3440242
gene3066		3467969	3468826
gene3067		3468922	3469782
gene3068		3470007	3472100
gene3069		3472132	3473487
gene3070		3473736	3474578
gene3071		3474646	3475347
gene3072		3475463	3476158
gene3073		3476130	3476768
gene3074		3476765	3478510
gene3075		3478574	3479632
gene3086		3487450	3487523
gene3087		3487579	3487654
gene3088		3487862	3491341
gene3089		3491744	3493429
gene3090		3493549	3494532
gene3091		3494534	3495454
gene3092		3495451	3496473
gene3096		3500339	3502207
gene3097		3502424	3503977
gene3098		3504045	3504401
gene3099		3504417	3504698
gene3100		3504699	3507320
gene3101		3507682	3509019
gene3103		3510347	3511102
gene3104		3511202	3512086
gene3105		3512153	3513325
gene3108		3516345	3517253
gene3109		3517441	3518697
gene3110		3518912	3519448
gene3111		3519460	3520272
gene3112		3520457	3522937
gene3113		3523016	3524215
gene3114		3524330	3525640
gene3115		3525781	3526884
gene3139		3556958	3557338
gene3140		3557469	3558749
gene3141		3559056	3559910
gene3142		3560086	3560886
gene3143		3560898	3561281
gene3144		3561325	3562173
gene3145		3562173	3563261
gene3146		3563313	3564650
gene3147		3564694	3565278
gene3148		3565305	3566174
gene3149		3566154	3566228
gene3150		3566469	3567485
gene3151		3567588	3569579
gene3152		3569777	3570373
gene3153		3570608	3571699
gene3154		3571935	3572011
gene3155		3572020	3572094
gene3156		3572241	3572315
gene3157		3572357	3572431
gene3158		3572470	3572546
gene3159		3572592	3572666
gene3160		3572703	3572779
gene3161		3572788	3572871
gene3162		3573107	3574939
gene3163		3575202	3575924
gene3164		3575921	3576646
gene3165		3576735	3577445
gene3350		3774651	3775628
gene3351		3775702	3776265
gene3448		3881945	3882020
gene3453		3882454	3882529
gene3526		3969157	3971478
gene3538		3982752	3983534
gene3539		3983544	3984620
gene3574		4017172	4017534
gene3575		4017870	4018298
gene3576		4018374	4020203
gene3577		4020513	4021343
gene3578		4021377	4022486
gene3579		4022787	4024304
gene3580		4024593	4025627
gene3581		4025707	4026948
gene3582		4027082	4028281
gene3583		4028456	4028926
gene3584		4029237	4030343
gene3585		4030504	4032153
gene3702		4141607	4141683
gene3703		4141712	4141788
gene3704		4141817	4141893
gene3705		4141920	4141996
gene3706		4142096	4142172
gene3707		4142176	4142268
gene3708		4142483	4142671
gene3709		4142765	4144012
gene3710		4144029	4146653
gene3801		4234485	4234570
gene3804		4234887	4234972
gene3805		4235044	4235129
gene3813		4241948	4242763
gene3838		4268521	4268596
gene3839		4268642	4268717
gene3840		4268721	4268796
gene3841		4268849	4268924
gene3842		4268972	4269739
gene3843		4269811	4270182
gene3856		4287909	4288091
gene3857		4288159	4289586
gene3858		4289736	4291631
gene3859		4291745	4294405
gene3860		4294485	4295249
gene3962		4398468	4399190
gene4015		4456740	4458845
gene4016		4458921	4459391
gene4017		4459485	4459859
gene4018		4460043	4460351
gene4019		4460329	4460685
gene4020		4460695	4461087
gene4021		4461174	4461554
gene4022		4461580	4462296
gene4023		4462494	4466798
gene4024		4466890	4470981
gene4025		4471143	4471508
gene4026		4471560	4472060
gene4027		4472317	4473018
gene4028		4473023	4473451
gene4029		4473585	4474136
gene4030		4474146	4474517
gene4031		4474578	4474654
gene4033		4476064	4476138
gene4034		4476177	4476261
gene4130		4580838	4581680
gene4131		4581677	4582579
gene4132		4582579	4583733
gene4133		4583809	4584894
gene4134		4585012	4586109
gene4135		4586164	4587525
gene4136		4587713	4589044
gene4137		4589513	4589899
gene4138		4590070	4590927
gene4139		4590979	4591425
gene4140		4591447	4591926
gene4141		4592004	4592993
gene4142		4593085	4594464
gene4143		4594436	4595038
gene4144		4595109	4595957
gene4145		4596071	4597792
gene4146		4598015	4599019
gene4147		4599016	4600149
gene4148		4600278	4601033
gene4149		4601040	4601678
gene4150		4601675	4604071
gene4151		4604068	4604790
gene4152		4604787	4605362
gene4153		4605362	4605883
gene4154		4605931	4606887
gene4155		4606989	4608884
gene4156		4608995	4610074
gene4157		4610187	4610966
gene4158		4610986	4612092
gene4159		4612089	4613312
gene4160		4613309	4613872
gene4161		4613869	4614936
gene4162		4614933	4615706
gene4163		4615748	4616581
gene4164		4616605	4617909
gene4165		4617943	4619079
gene4166		4620296	4621396
gene4167		4621433	4622389
gene4168		4622548	4623735
gene4169		4623732	4624790
gene4170		4624790	4626160
gene4171		4626160	4626909
gene4172		4626909	4627142
gene4173		4627139	4627675
gene4174		4627840	4628535
gene4175		4628525	4629781
gene4176		4629788	4630834
gene4177		4630827	4632122
gene4178		4632119	4632379
gene4222		4678551	4679618
gene4255		4714873	4716234
gene4256		4716285	4717646
gene4257		4717741	4718160
gene4258		4718188	4719576
gene4259		4719610	4720476
gene4260		4720520	4722061
gene4261		4722077	4722610
gene4262		4722624	4723094
gene4263		4723147	4723389
gene4264		4723448	4724230
gene4265		4724239	4724631
gene4266		4724840	4725748
gene4267		4725745	4726548
gene4268		4726557	4727201
gene4269		4727222	4729111
gene4271		4730433	4732562
gene4272		4732642	4734300
gene4273		4734323	4735087
gene4274		4735106	4736032
gene4275		4736029	4738011
gene4276		4738082	4739443
gene4277		4739553	4741199
gene4278		4741205	4741432
gene4279		4741420	4741779
gene4280		4741779	4741913
gene4281		4742183	4742917
gene4282		4742930	4743598
gene4283		4743599	4744357
