All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                      dataset_390.dat
# misassemblies               6              
    # relocations             6              
    # translocations          0              
    # inversions              0              
# misassembled contigs        6              
Misassembled contigs length   476321         
# local misassemblies         1              
# mismatches                  102            
# indels                      58             
    # short indels (<= 5 bp)  54             
    # long indels (> 5 bp)    4              
Indels length                 86             
