Assembly	GAGE-B broken	GAGE-B	Spades_2_3_0 broken	Spades_2_3_0	Spades_2_5_0 broken	Spades_2_5_0
# fully unaligned contigs	1	1	3	3	3	3
Fully unaligned length	808	808	2685	2685	2685	2685
# partially unaligned contigs	1	1	0	0	0	0
    # with misassembly	1	1	0	0	0	0
    # both parts are significant	0	0	0	0	0	0
Partially unaligned length	453	453	0	0	0	0
# N's	0	0	379	379	0	0
