Assembly	GAGE-B	MIRA_340
# misassemblies	24	45
    # relocations	22	41
    # translocations	2	4
    # inversions	0	0
# misassembled contigs	20	34
Misassembled contigs length	558799	125492
# local misassemblies	9	10
# mismatches	410	665
# indels	152	169
    # short indels (<= 5 bp)	148	168
    # long indels (> 5 bp)	4	1
Indels length	188	179
