Assembly	AH-H-Abyss-Contig	AH-H-Msrca-Contig
# misassemblies	0	2
    # relocations	0	2
    # translocations	0	0
    # inversions	0	0
# misassembled contigs	0	2
Misassembled contigs length	0	3104
# local misassemblies	0	0
# mismatches	1049	1575
# indels	44	61
    # short indels (<= 5 bp)	43	60
    # long indels (> 5 bp)	1	1
Indels length	59	88
