Assembly	BC-H-Abyss	BC-M-Abyss	BC-H-Cabog	BC-M-Cabog	BC-H-Mira	BC-M-Mira	BC-H-Msrca	BC-M-Msrca	BC-H-Sga	BC-M-Sga	BC-H-Soap	BC-M-Soap	BC-H-Spades	BC-M-Spades	BC-H-Velvet	BC-M-Velvet
# fully unaligned contigs	317	1	122	3	490	7	152	0	541	11	250	13	179	2	250	30
Fully unaligned length	4185249	69698	2848290	107565	3677450	109930	2963960	0	4916800	127974	4086765	197377	2603093	1266	3773534	191076
# partially unaligned contigs	42	9	41	8	70	10	50	6	26	11	31	0	55	6	27	3
    # with misassembly	9	1	10	2	13	1	17	4	2	1	7	0	17	4	4	0
    # both parts are significant	13	9	26	7	21	2	20	6	11	0	12	0	28	3	15	0
Partially unaligned length	1570119	126428	1908957	89090	1873594	54559	2601854	196772	527612	68893	1475931	0	3056794	196781	1151206	266
# N's	0	5511	0	0	256	191	0	0	0	0	0	0	919	221	0	0
