Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	# contigs	Total length	Largest contig	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
000_dataset_180.dat	144	142	3849141	3848582	142	3848582	224340	47.54	57089	30707	20	43	0.00
000_dataset_180.dat 1	144	142	3849141	3848582	142	3848582	224340	47.54	57089	30707	20	43	0.00
